name,fhispanic,fwhite,fblack,fapi,faian,mhispanic,mwhite,mblack,mapi,maian
Rubina,38,58,19,77,0,0,0,0,0,0
Ruby,2045,4744,3195,2314,409,140,325,219,159,28
Rudolf,0,0,0,0,0,25,136,0,25,0
Rudolph,0,0,0,0,0,366,660,429,167,56
Rudy,269,267,73,129,33,1466,1455,401,705,179
Rufus,0,0,0,0,0,44,287,255,76,44
Rui,16,51,0,63,0,48,152,0,188,0
Rupert,0,0,0,0,0,43,107,82,65,0
Ruslan,0,0,0,0,0,0,146,0,0,0
Russ,0,0,0,0,0,25,233,0,49,0
Russel,0,0,0,0,0,0,415,42,59,0
Russell,57,653,109,86,16,1061,12136,2021,1607,306
Rustin,0,0,0,0,0,0,191,0,0,0
Rusty,15,87,0,0,0,117,656,0,0,0
Ruth,2618,9825,2464,1548,454,126,474,119,75,22
Ruthann,33,306,0,0,0,0,0,0,0,0
Ruthanne,0,141,26,0,0,0,0,0,0,0
Ruthie,82,289,224,0,0,0,0,0,0,0
Ryan,1190,11742,1113,1821,333,6678,65898,6246,10223,1866
Ryann,0,428,0,0,0,0,105,0,0,0
Ryszard,0,0,0,0,0,0,17,0,0,0
Sabina,224,452,88,224,62,0,0,0,0,0
Sabine,0,421,71,0,0,0,0,0,0,0
Sabino,0,0,0,0,0,149,73,0,48,0
Sabra,0,201,0,0,0,0,0,0,0,0
Sabrina,1631,5909,2578,1364,421,72,260,114,60,19
Sachin,0,0,0,0,0,0,101,0,248,34
Sadie,701,2360,1145,0,496,18,61,30,0,13
Saeed,0,0,0,0,0,0,258,40,159,0
Sai,20,40,0,134,0,39,77,0,257,0
Said,0,0,0,0,0,53,349,74,149,53
Sal,0,0,0,0,0,76,135,0,41,24
Salim,0,0,0,0,0,0,198,0,198,40
Salina,112,233,145,215,0,0,0,0,0,0
Sallie,54,437,133,54,0,0,0,0,0,0
Sally,772,4908,426,844,255,32,202,18,35,10
Salomon,0,0,0,0,0,307,127,48,68,0
Salvador,275,64,10,49,10,4387,1028,163,780,163
Salvatore,5,57,0,2,0,238,2732,0,106,0
Sam,90,441,110,226,19,670,3292,821,1690,143
Samantha,4335,21614,4335,4335,1022,188,936,188,188,44
Sameer,0,0,0,0,0,0,233,0,334,0
Samer,2,17,3,7,0,34,258,48,106,0
Sami,42,215,52,73,0,95,485,117,165,0
Samir,20,83,8,69,8,234,961,96,800,96
Samira,174,516,174,195,87,0,0,0,0,0
Sammie,33,155,178,47,0,39,184,211,55,0
Sammy,76,239,90,110,0,274,867,324,397,0
Samson,0,0,0,0,0,170,354,393,556,0
Samuel,643,1616,579,440,81,13200,33161,11876,9024,1652
San,65,24,0,79,14,77,29,0,94,17
Sandeep,9,49,0,98,0,22,115,0,231,0
Sander,0,0,0,0,0,0,114,0,0,0
Sandhya,0,48,0,115,19,0,0,0,0,0
Sandi,63,435,36,82,36,6,45,4,8,4
